id,name,score,March 2019 w/ Digital Rights Reviewer,March 2019,February 2019,January 2019,December 2018
1018,Blockslack,DE,49,49,43,37,undefined
1018,Blockslack,PH,26,26,30,25,undefined
1018,Blockslack,TMYUI,8,18,31,8,undefined
1018,Blockslack,DR,1,undefined,undefined,undefined,undefined
871,clickbox,Total,33,44,34,30,undefined
871,clickbox,DE,49,49,43,37,undefined
871,clickbox,PH,19,19,24,18,undefined
871,clickbox,TMYUI,30,36,25,25,undefined
871,clickbox,DR,1,undefined,undefined,undefined,undefined
676,OI Timesheet,Total,34,34,40,33,23
676,OI Timesheet,DE,26,26,25,21,22
676,OI Timesheet,PH,37,37,43,37,26
676,OI Timesheet,TMYUI,30,20,36,34,undefined
676,OI Timesheet,DR,1,undefined,undefined,undefined,undefined
1062,OI Calendar,Total,35,38,53,undefined,undefined
1062,OI Calendar,DE,44,44,43,undefined,undefined
1062,OI Calendar,PH,22,22,39,undefined,undefined
1062,OI Calendar,TMYUI,5,10,37,undefined,undefined
1062,OI Calendar,DR,1,undefined,undefined,undefined,undefined
1097,Forms.id,Total,36,21,undefined,undefined,undefined
1097,Forms.id,DE,39,39,undefined,undefined,undefined
1097,Forms.id,PH,3,3,undefined,undefined,undefined
1097,Forms.id,TMYUI,32,41,undefined,undefined,undefined
1097,Forms.id,DR,51,undefined,undefined,undefined,undefined
513,Dappy Wallet,Total,37,26,38,31,21
513,Dappy Wallet,DE,19,19,14,11,13
513,Dappy Wallet,PH,44,44,51,43,28
513,Dappy Wallet,TMYUI,12,7,33,36,undefined
513,Dappy Wallet,DR,47,undefined,undefined,undefined,undefined
1081,Agora,Total,38,37,49,undefined,undefined
1081,Agora,DE,42,42,40,undefined,undefined
1081,Agora,PH,28,28,47,undefined,undefined
1081,Agora,TMYUI,13,9,39,undefined,undefined
1081,Agora,DR,1,undefined,undefined,undefined,undefined
877,YourNote,Total,39,42,33,28,undefined
877,YourNote,DE,53,53,54,46,undefined
877,YourNote,PH,15,15,33,28,undefined
877,YourNote,TMYUI,38,39,3,2,undefined
877,YourNote,DR,1,undefined,undefined,undefined,undefined
519,Fupio,Total,40,32,41,undefined,undefined
519,Fupio,DE,46,46,43,undefined,undefined
519,Fupio,PH,12,12,10,undefined,undefined
519,Fupio,TMYUI,38,33,46,undefined,undefined
519,Fupio,DR,34,undefined,undefined,undefined,undefined
955,Debut,Total,41,46,46,40,undefined
955,Debut,DE,27,27,26,23,undefined
955,Debut,PH,36,36,50,42,undefined
955,Debut,TMYUI,16,34,44,45,undefined
955,Debut,DR,34,undefined,undefined,undefined,undefined
492,XPO.Network,Total,42,31,21,18,11
492,XPO.Network,DE,11,11,13,30,15
492,XPO.Network,PH,37,37,18,13,14
492,XPO.Network,TMYUI,54,50,41,27,undefined
